game_id,date,status,home_team_id,home_team_name,home_team_abbrev,home_score,away_team_id,away_team_name,away_team_abbrev,away_score,venue,attendance,season
401705582,2025-03-22T00:00Z,Final,16,Minnesota Timberwolves,MIN,134,3,New Orleans Pelicans,NO,93,Target Center,18978,2024-25
401705583,2025-03-22T00:00Z,Final,25,Oklahoma City Thunder,OKC,141,30,Charlotte Hornets,CHA,106,Paycom Center,18203,2024-25
401705584,2025-03-22T00:00Z,Final,24,San Antonio Spurs,SA,128,20,Philadelphia 76ers,PHI,120,Frost Bank Center,17803,2024-25
401705585,2025-03-22T00:30Z,Final,6,Dallas Mavericks,DAL,123,8,Detroit Pistons,DET,117,American Airlines Center,20071,2024-25
401705586,2025-03-22T01:30Z,Final,26,Utah Jazz,UTAH,99,2,Boston Celtics,BOS,121,Delta Center,18175,2024-25
401705587,2025-03-22T02:00Z,Final,21,Phoenix Suns,PHX,123,5,Cleveland Cavaliers,CLE,112,PHX Arena,17071,2024-25
401705588,2025-03-22T02:00Z,Final,22,Portland Trail Blazers,POR,128,7,Denver Nuggets,DEN,109,Moda Center,17410,2024-25
401705589,2025-03-22T02:30Z,Final,12,LA Clippers,LAC,128,29,Memphis Grizzlies,MEM,108,Intuit Dome,17927,2024-25
401705590,2025-03-22T21:00Z,Final,11,Indiana Pacers,IND,108,17,Brooklyn Nets,BKN,103,Gainbridge Fieldhouse,17274,2024-25
401705591,2025-03-22T23:00Z,Final,1,Atlanta Hawks,ATL,124,9,Golden State Warriors,GS,115,State Farm Arena,17864,2024-25
401705592,2025-03-23T00:00Z,Final,18,New York Knicks,NY,122,27,Washington Wizards,WSH,103,Madison Square Garden,19812,2024-25
401705593,2025-03-23T02:00Z,Final,23,Sacramento Kings,SAC,108,15,Milwaukee Bucks,MIL,114,Golden 1 Center,16911,2024-25
401705594,2025-03-23T02:30Z,Final,13,Los Angeles Lakers,LAL,115,4,Chicago Bulls,CHI,146,crypto.com Arena,18997,2024-25
401705595,2025-03-23T19:00Z,Final,8,Detroit Pistons,DET,136,3,New Orleans Pelicans,NO,130,Little Caesars Arena,20062,2024-25
401705596,2025-03-23T19:30Z,Final,26,Utah Jazz,UTAH,91,5,Cleveland Cavaliers,CLE,120,Delta Center,18175,2024-25
401705597,2025-03-23T22:00Z,Final,1,Atlanta Hawks,ATL,132,20,Philadelphia 76ers,PHI,119,State Farm Arena,16161,2024-25
401705598,2025-03-23T22:00Z,Final,14,Miami Heat,MIA,122,30,Charlotte Hornets,CHA,105,Kaseya Center,19700,2024-25
401705599,2025-03-23T22:00Z,Final,28,Toronto Raptors,TOR,89,24,San Antonio Spurs,SA,123,Scotiabank Arena,18276,2024-25
401705600,2025-03-23T22:00Z,Final,22,Portland Trail Blazers,POR,116,2,Boston Celtics,BOS,129,Moda Center,18181,2024-25
401705601,2025-03-23T23:00Z,Final,10,Houston Rockets,HOU,111,7,Denver Nuggets,DEN,116,Toyota Center (Houston),18055,2024-25
401705602,2025-03-24T01:00Z,Final,12,LA Clippers,LAC,101,25,Oklahoma City Thunder,OKC,103,Intuit Dome,17927,2024-25
401705603,2025-03-24T23:00Z,Final,11,Indiana Pacers,IND,119,16,Minnesota Timberwolves,MIN,103,Gainbridge Fieldhouse,17274,2024-25
401705604,2025-03-24T23:00Z,Final,19,Orlando Magic,ORL,118,13,Los Angeles Lakers,LAL,106,Kia Center,19598,2024-25
401705605,2025-03-24T23:00Z,Final,27,Washington Wizards,WSH,104,28,Toronto Raptors,TOR,112,Capital One Arena,13532,2024-25
401705606,2025-03-24T23:30Z,Final,17,Brooklyn Nets,BKN,101,6,Dallas Mavericks,DAL,120,Barclays Center,16434,2024-25
401705607,2025-03-25T00:00Z,Final,3,New Orleans Pelicans,NO,112,20,Philadelphia 76ers,PHI,99,Smoothie King Center,16987,2024-25
401705608,2025-03-25T01:00Z,Final,7,Denver Nuggets,DEN,119,4,Chicago Bulls,CHI,129,Ball Arena,19816,2024-25
401705609,2025-03-25T02:00Z,Final,21,Phoenix Suns,PHX,108,15,Milwaukee Bucks,MIL,106,PHX Arena,17071,2024-25
401705610,2025-03-25T02:00Z,Final,23,Sacramento Kings,SAC,95,2,Boston Celtics,BOS,113,Golden 1 Center,15855,2024-25
401705611,2025-03-25T23:00Z,Final,30,Charlotte Hornets,CHA,104,19,Orlando Magic,ORL,111,Spectrum Center,14639,2024-25
401705612,2025-03-25T23:00Z,Final,8,Detroit Pistons,DET,122,24,San Antonio Spurs,SA,96,Little Caesars Arena,19511,2024-25
401705613,2025-03-25T23:30Z,Final,14,Miami Heat,MIA,112,9,Golden State Warriors,GS,86,Kaseya Center,19897,2024-25
401705614,2025-03-25T23:30Z,Final,18,New York Knicks,NY,128,6,Dallas Mavericks,DAL,113,Madison Square Garden,19812,2024-25
401705615,2025-03-26T00:00Z,Final,10,Houston Rockets,HOU,121,1,Atlanta Hawks,ATL,114,Toyota Center (Houston),16817,2024-25
401705616,2025-03-26T01:00Z,Final,26,Utah Jazz,UTAH,103,29,Memphis Grizzlies,MEM,140,Delta Center,18175,2024-25
401705617,2025-03-26T02:00Z,Final,22,Portland Trail Blazers,POR,111,5,Cleveland Cavaliers,CLE,122,Moda Center,19335,2024-25
401705618,2025-03-26T02:00Z,Final,23,Sacramento Kings,SAC,105,25,Oklahoma City Thunder,OKC,121,Golden 1 Center,16060,2024-25
401705619,2025-03-26T23:00Z,Final,20,Philadelphia 76ers,PHI,114,27,Washington Wizards,WSH,119,Xfinity Mobile Arena,19770,2024-25
401705620,2025-03-26T23:30Z,Final,17,Brooklyn Nets,BKN,86,28,Toronto Raptors,TOR,116,Barclays Center,16413,2024-25
401705621,2025-03-26T23:30Z,Final,11,Indiana Pacers,IND,119,13,Los Angeles Lakers,LAL,120,Gainbridge Fieldhouse,17274,2024-25
401705622,2025-03-26T23:30Z,Final,18,New York Knicks,NY,113,12,LA Clippers,LAC,126,Madison Square Garden,19812,2024-25
401705623,2025-03-27T01:00Z,Final,7,Denver Nuggets,DEN,127,15,Milwaukee Bucks,MIL,117,Ball Arena,19641,2024-25
401705624,2025-03-27T02:00Z,Final,21,Phoenix Suns,PHX,102,2,Boston Celtics,BOS,132,PHX Arena,17071,2024-25
401705625,2025-03-27T23:00Z,Final,5,Cleveland Cavaliers,CLE,124,24,San Antonio Spurs,SA,116,Rocket Arena,19432,2024-25
401705626,2025-03-27T23:00Z,Final,19,Orlando Magic,ORL,92,6,Dallas Mavericks,DAL,101,Kia Center,17269,2024-25
401705627,2025-03-27T23:00Z,Final,27,Washington Wizards,WSH,109,11,Indiana Pacers,IND,162,Capital One Arena,15393,2024-25
401705628,2025-03-27T23:30Z,Final,14,Miami Heat,MIA,122,1,Atlanta Hawks,ATL,112,Kaseya Center,19700,2024-25
401705629,2025-03-28T00:00Z,Final,4,Chicago Bulls,CHI,119,13,Los Angeles Lakers,LAL,117,United Center,21957,2024-25
401705630,2025-03-28T00:00Z,Final,25,Oklahoma City Thunder,OKC,125,29,Memphis Grizzlies,MEM,104,Paycom Center,18203,2024-25
401705631,2025-03-28T01:00Z,Final,26,Utah Jazz,UTAH,110,10,Houston Rockets,HOU,121,Delta Center,18175,2024-25
401705632,2025-03-28T02:00Z,Final,23,Sacramento Kings,SAC,128,22,Portland Trail Blazers,POR,107,Golden 1 Center,16671,2024-25
401705633,2025-03-28T23:00Z,Final,8,Detroit Pistons,DET,133,5,Cleveland Cavaliers,CLE,122,Little Caesars Arena,20062,2024-25
401705634,2025-03-28T23:30Z,Final,17,Brooklyn Nets,BKN,100,12,LA Clippers,LAC,132,Barclays Center,17926,2024-25
401705635,2025-03-28T23:30Z,Final,28,Toronto Raptors,TOR,108,30,Charlotte Hornets,CHA,97,Scotiabank Arena,19276,2024-25
401705636,2025-03-29T00:00Z,Final,15,Milwaukee Bucks,MIL,107,18,New York Knicks,NY,116,Fiserv Forum,17605,2024-25
401705637,2025-03-29T00:00Z,Final,16,Minnesota Timberwolves,MIN,124,21,Phoenix Suns,PHX,109,Target Center,18978,2024-25
401705638,2025-03-29T00:00Z,Final,3,New Orleans Pelicans,NO,95,9,Golden State Warriors,GS,111,Smoothie King Center,18133,2024-25
401705639,2025-03-29T01:00Z,Final,7,Denver Nuggets,DEN,129,26,Utah Jazz,UTAH,93,Ball Arena,19905,2024-25
401705640,2025-03-29T21:00Z,Final,19,Orlando Magic,ORL,121,23,Sacramento Kings,SAC,91,Kia Center,18846,2024-25
401705641,2025-03-29T23:00Z,Final,27,Washington Wizards,WSH,112,17,Brooklyn Nets,BKN,115,Capital One Arena,16316,2024-25
401705642,2025-03-29T23:30Z,Final,20,Philadelphia 76ers,PHI,95,14,Miami Heat,MIA,118,Xfinity Mobile Arena,20079,2024-25
401705643,2025-03-30T00:00Z,Final,4,Chicago Bulls,CHI,119,6,Dallas Mavericks,DAL,120,United Center,21045,2024-25
401705644,2025-03-30T00:00Z,Final,29,Memphis Grizzlies,MEM,127,13,Los Angeles Lakers,LAL,134,FedExForum,18087,2024-25
401705645,2025-03-30T00:00Z,Final,25,Oklahoma City Thunder,OKC,132,11,Indiana Pacers,IND,111,Paycom Center,18203,2024-25
401705646,2025-03-30T00:00Z,Final,24,San Antonio Spurs,SA,111,2,Boston Celtics,BOS,121,Frost Bank Center,18674,2024-25
401705647,2025-03-30T19:30Z,Final,5,Cleveland Cavaliers,CLE,127,12,LA Clippers,LAC,122,Rocket Arena,19432,2024-25
401705648,2025-03-30T22:00Z,Final,18,New York Knicks,NY,110,22,Portland Trail Blazers,POR,93,Madison Square Garden,19812,2024-25
401705649,2025-03-30T23:00Z,Final,15,Milwaukee Bucks,MIL,124,1,Atlanta Hawks,ATL,145,Fiserv Forum,17341,2024-25
401705650,2025-03-30T23:00Z,Final,16,Minnesota Timberwolves,MIN,123,8,Detroit Pistons,DET,104,Target Center,18978,2024-25
401705651,2025-03-30T23:00Z,Final,3,New Orleans Pelicans,NO,98,30,Charlotte Hornets,CHA,94,Smoothie King Center,17490,2024-25
401705652,2025-03-30T23:00Z,Final,24,San Antonio Spurs,SA,106,9,Golden State Warriors,GS,148,Frost Bank Center,18558,2024-25
401705653,2025-03-30T23:30Z,Final,20,Philadelphia 76ers,PHI,109,28,Toronto Raptors,TOR,127,Xfinity Mobile Arena,19785,2024-25
401705654,2025-03-31T01:00Z,Final,21,Phoenix Suns,PHX,109,10,Houston Rockets,HOU,148,PHX Arena,17071,2024-25
401705655,2025-03-31T23:00Z,Final,30,Charlotte Hornets,CHA,110,26,Utah Jazz,UTAH,106,Spectrum Center,14410,2024-25
401705656,2025-03-31T23:00Z,Final,11,Indiana Pacers,IND,111,23,Sacramento Kings,SAC,109,Gainbridge Fieldhouse,16341,2024-25
401705657,2025-03-31T23:00Z,Final,19,Orlando Magic,ORL,87,12,LA Clippers,LAC,96,Kia Center,17522,2024-25
401705658,2025-03-31T23:00Z,Final,27,Washington Wizards,WSH,94,14,Miami Heat,MIA,120,Capital One Arena,16901,2024-25
401705659,2025-03-31T23:30Z,Final,29,Memphis Grizzlies,MEM,103,2,Boston Celtics,BOS,117,FedExForum,16867,2024-25
401705660,2025-04-01T00:00Z,Final,25,Oklahoma City Thunder,OKC,145,4,Chicago Bulls,CHI,117,Paycom Center,18203,2024-25
401705661,2025-04-01T00:30Z,Final,6,Dallas Mavericks,DAL,109,17,Brooklyn Nets,BKN,113,American Airlines Center,19790,2024-25
401705662,2025-04-01T02:00Z,Final,13,Los Angeles Lakers,LAL,104,10,Houston Rockets,HOU,98,crypto.com Arena,18997,2024-25
401705663,2025-04-01T23:30Z,Final,1,Atlanta Hawks,ATL,113,22,Portland Trail Blazers,POR,127,State Farm Arena,17124,2024-25
401705664,2025-04-01T23:30Z,Final,18,New York Knicks,NY,105,20,Philadelphia 76ers,PHI,91,Madison Square Garden,19314,2024-25
401705667,2025-04-01T23:30Z,Final,15,Milwaukee Bucks,MIL,133,21,Phoenix Suns,PHX,123,Fiserv Forum,17341,2024-25
401705554,2025-04-02T00:00Z,Final,24,San Antonio Spurs,SA,105,19,Orlando Magic,ORL,116,Frost Bank Center,17770,2024-25
401705665,2025-04-02T00:00Z,Final,4,Chicago Bulls,CHI,137,28,Toronto Raptors,TOR,118,United Center,20005,2024-25
401705666,2025-04-02T00:00Z,Final,29,Memphis Grizzlies,MEM,125,9,Golden State Warriors,GS,134,FedExForum,17794,2024-25
401705668,2025-04-02T02:00Z,Final,7,Denver Nuggets,DEN,139,16,Minnesota Timberwolves,MIN,140,Ball Arena,19927,2024-25
401705669,2025-04-02T23:00Z,Final,5,Cleveland Cavaliers,CLE,124,18,New York Knicks,NY,105,Rocket Arena,19432,2024-25
401705670,2025-04-02T23:00Z,Final,11,Indiana Pacers,IND,119,30,Charlotte Hornets,CHA,105,Gainbridge Fieldhouse,16042,2024-25
401705671,2025-04-02T23:00Z,Final,27,Washington Wizards,WSH,116,23,Sacramento Kings,SAC,111,Capital One Arena,15018,2024-25
401705672,2025-04-02T23:30Z,Final,2,Boston Celtics,BOS,103,14,Miami Heat,MIA,124,TD Garden,19156,2024-25
401705673,2025-04-03T00:00Z,Final,10,Houston Rockets,HOU,143,26,Utah Jazz,UTAH,105,Toyota Center (Houston),18055,2024-25
401705675,2025-04-03T00:30Z,Final,6,Dallas Mavericks,DAL,120,1,Atlanta Hawks,ATL,118,American Airlines Center,19977,2024-25
401705676,2025-04-03T01:00Z,Final,7,Denver Nuggets,DEN,106,24,San Antonio Spurs,SA,113,Ball Arena,19524,2024-25
401705674,2025-04-03T01:30Z,Final,25,Oklahoma City Thunder,OKC,119,8,Detroit Pistons,DET,103,Paycom Center,18203,2024-25
401705677,2025-04-03T02:30Z,Final,12,LA Clippers,LAC,114,3,New Orleans Pelicans,NO,98,Intuit Dome,17109,2024-25
401705678,2025-04-03T23:00Z,Final,27,Washington Wizards,WSH,97,19,Orlando Magic,ORL,109,Capital One Arena,15998,2024-25
401705681,2025-04-03T23:00Z,Final,20,Philadelphia 76ers,PHI,113,15,Milwaukee Bucks,MIL,126,Xfinity Mobile Arena,19763,2024-25
401705679,2025-04-03T23:30Z,Final,17,Brooklyn Nets,BKN,90,16,Minnesota Timberwolves,MIN,105,Barclays Center,17926,2024-25
401705680,2025-04-03T23:30Z,Final,14,Miami Heat,MIA,108,29,Memphis Grizzlies,MEM,110,Kaseya Center,19700,2024-25
401705682,2025-04-03T23:30Z,Final,28,Toronto Raptors,TOR,103,22,Portland Trail Blazers,POR,112,Scotiabank Arena,18548,2024-25
401705683,2025-04-04T02:00Z,Final,13,Los Angeles Lakers,LAL,116,9,Golden State Warriors,GS,123,crypto.com Arena,18997,2024-25
401705684,2025-04-04T23:00Z,Final,30,Charlotte Hornets,CHA,102,23,Sacramento Kings,SAC,125,Spectrum Center,15896,2024-25
401705685,2025-04-04T23:00Z,Final,11,Indiana Pacers,IND,140,26,Utah Jazz,UTAH,112,Gainbridge Fieldhouse,17274,2024-25
401705686,2025-04-04T23:30Z,Final,2,Boston Celtics,BOS,123,21,Phoenix Suns,PHX,103,TD Garden,19156,2024-25
401705687,2025-04-04T23:30Z,Final,28,Toronto Raptors,TOR,105,8,Detroit Pistons,DET,117,Scotiabank Arena,19491,2024-25
401705688,2025-04-05T00:00Z,Final,4,Chicago Bulls,CHI,118,22,Portland Trail Blazers,POR,113,United Center,21572,2024-25
401705689,2025-04-05T00:00Z,Final,10,Houston Rockets,HOU,125,25,Oklahoma City Thunder,OKC,111,Toyota Center (Houston),18055,2024-25
401705690,2025-04-05T00:00Z,Final,24,San Antonio Spurs,SA,113,5,Cleveland Cavaliers,CLE,114,Frost Bank Center,17819,2024-25
401705691,2025-04-05T02:00Z,Final,9,Golden State Warriors,GS,118,7,Denver Nuggets,DEN,104,Chase Center,18064,2024-25
401705692,2025-04-05T02:30Z,Final,13,Los Angeles Lakers,LAL,124,3,New Orleans Pelicans,NO,108,crypto.com Arena,18997,2024-25
401705693,2025-04-05T02:30Z,Final,12,LA Clippers,LAC,114,6,Dallas Mavericks,DAL,91,Intuit Dome,17927,2024-25
401705694,2025-04-05T19:00Z,Final,1,Atlanta Hawks,ATL,105,18,New York Knicks,NY,121,State Farm Arena,16199,2024-25
401705695,2025-04-05T23:00Z,Final,8,Detroit Pistons,DET,103,29,Memphis Grizzlies,MEM,109,Little Caesars Arena,20062,2024-25
401705696,2025-04-05T23:00Z,Final,20,Philadelphia 76ers,PHI,109,16,Minnesota Timberwolves,MIN,114,Xfinity Mobile Arena,19755,2024-25
401705697,2025-04-06T00:00Z,Final,14,Miami Heat,MIA,115,15,Milwaukee Bucks,MIL,121,Kaseya Center,19734,2024-25
401705698,2025-04-06T02:30Z,Final,12,LA Clippers,LAC,135,6,Dallas Mavericks,DAL,104,Intuit Dome,17927,2024-25
401705699,2025-04-06T17:00Z,Final,30,Charlotte Hornets,CHA,117,4,Chicago Bulls,CHI,131,Spectrum Center,18499,2024-25
401705700,2025-04-06T19:30Z,Final,17,Brooklyn Nets,BKN,109,28,Toronto Raptors,TOR,120,Barclays Center,17007,2024-25
401705701,2025-04-06T19:30Z,Final,25,Oklahoma City Thunder,OKC,99,13,Los Angeles Lakers,LAL,126,Paycom Center,18203,2024-25
401705702,2025-04-06T22:00Z,Final,1,Atlanta Hawks,ATL,147,26,Utah Jazz,UTAH,134,State Farm Arena,16331,2024-25
401705703,2025-04-06T22:00Z,Final,2,Boston Celtics,BOS,124,27,Washington Wizards,WSH,90,TD Garden,19156,2024-25
401705704,2025-04-06T22:00Z,Final,5,Cleveland Cavaliers,CLE,113,23,Sacramento Kings,SAC,120,Rocket Arena,19432,2024-25
401705705,2025-04-06T22:00Z,Final,22,Portland Trail Blazers,POR,120,24,San Antonio Spurs,SA,109,Moda Center,17928,2024-25
401705706,2025-04-06T23:00Z,Final,18,New York Knicks,NY,112,21,Phoenix Suns,PHX,98,Madison Square Garden,19812,2024-25
401705708,2025-04-07T00:00Z,Final,7,Denver Nuggets,DEN,120,11,Indiana Pacers,IND,125,Ball Arena,19932,2024-25
401705709,2025-04-07T00:30Z,Final,9,Golden State Warriors,GS,96,10,Houston Rockets,HOU,106,Chase Center,18064,2024-25
401754706,2025-04-07T00:30Z,Final,3,New Orleans Pelicans,NO,107,15,Milwaukee Bucks,MIL,111,Smoothie King Center,17561,2024-25
401705710,2025-04-07T23:00Z,Final,8,Detroit Pistons,DET,117,23,Sacramento Kings,SAC,127,Little Caesars Arena,19208,2024-25
401705711,2025-04-07T23:30Z,Final,14,Miami Heat,MIA,117,20,Philadelphia 76ers,PHI,105,Kaseya Center,19700,2024-25
401705712,2025-04-08T23:00Z,Final,30,Charlotte Hornets,CHA,100,29,Memphis Grizzlies,MEM,124,Spectrum Center,17125,2024-25
401705713,2025-04-08T23:00Z,Final,5,Cleveland Cavaliers,CLE,135,4,Chicago Bulls,CHI,113,Rocket Arena,19432,2024-25
401705714,2025-04-08T23:00Z,Final,11,Indiana Pacers,IND,104,27,Washington Wizards,WSH,98,Gainbridge Fieldhouse,16144,2024-25
401705715,2025-04-08T23:00Z,Final,19,Orlando Magic,ORL,119,1,Atlanta Hawks,ATL,112,Kia Center,18846,2024-25
401705716,2025-04-08T23:30Z,Final,17,Brooklyn Nets,BKN,119,3,New Orleans Pelicans,NO,114,Barclays Center,16407,2024-25
401705717,2025-04-08T23:30Z,Final,18,New York Knicks,NY,117,2,Boston Celtics,BOS,119,Madison Square Garden,19812,2024-25
401705718,2025-04-09T00:00Z,Final,15,Milwaukee Bucks,MIL,110,16,Minnesota Timberwolves,MIN,103,Fiserv Forum,17341,2024-25
401705719,2025-04-09T00:00Z,Final,25,Oklahoma City Thunder,OKC,136,13,Los Angeles Lakers,LAL,120,Paycom Center,18203,2024-25
401705720,2025-04-09T02:00Z,Final,21,Phoenix Suns,PHX,95,9,Golden State Warriors,GS,133,PHX Arena,17071,2024-25
401705721,2025-04-09T02:30Z,Final,12,LA Clippers,LAC,122,24,San Antonio Spurs,SA,117,Intuit Dome,17927,2024-25
401705722,2025-04-09T23:00Z,Final,19,Orlando Magic,ORL,96,2,Boston Celtics,BOS,76,Kia Center,19128,2024-25
401705723,2025-04-09T23:00Z,Final,27,Washington Wizards,WSH,103,20,Philadelphia 76ers,PHI,122,Capital One Arena,17222,2024-25
401705724,2025-04-09T23:30Z,Final,28,Toronto Raptors,TOR,126,30,Charlotte Hornets,CHA,96,Scotiabank Arena,19800,2024-25
401705725,2025-04-09T23:30Z,Final,6,Dallas Mavericks,DAL,97,13,Los Angeles Lakers,LAL,112,American Airlines Center,20841,2024-25
401705726,2025-04-10T00:00Z,Final,4,Chicago Bulls,CHI,119,14,Miami Heat,MIA,111,United Center,20509,2024-25
401705728,2025-04-10T01:00Z,Final,26,Utah Jazz,UTAH,133,22,Portland Trail Blazers,POR,126,Delta Center,18175,2024-25
401705729,2025-04-10T02:00Z,Final,9,Golden State Warriors,GS,111,24,San Antonio Spurs,SA,114,Chase Center,18064,2024-25
401705730,2025-04-10T02:00Z,Final,21,Phoenix Suns,PHX,112,25,Oklahoma City Thunder,OKC,125,PHX Arena,17071,2024-25
401705731,2025-04-10T02:00Z,Final,23,Sacramento Kings,SAC,116,7,Denver Nuggets,DEN,124,Golden 1 Center,16161,2024-25
401705732,2025-04-10T02:30Z,Final,12,LA Clippers,LAC,134,10,Houston Rockets,HOU,117,Intuit Dome,17927,2024-25
401705733,2025-04-10T23:00Z,Final,8,Detroit Pistons,DET,115,18,New York Knicks,NY,106,Little Caesars Arena,20062,2024-25
